iter	Passed	Remaining
498	1070	2148
499	1073	2146
500	1074	2143
501	1077	2141
502	1079	2139
503	1081	2137
504	1084	2135
505	1086	2134
506	1088	2132
507	1091	2130
508	1093	2129
509	1095	2127
510	1098	2125
511	1100	2123
512	1102	2121
513	1104	2119
514	1107	2117
515	1109	2116
516	1111	2114
517	1114	2111
518	1116	2109
519	1118	2107
520	1120	2105
521	1122	2103
522	1125	2101
523	1127	2099
524	1129	2097
525	1131	2095
526	1134	2093
527	1136	2091
528	1138	2089
529	1140	2087
530	1142	2085
531	1145	2083
532	1147	2081
533	1149	2079
534	1151	2077
535	1154	2075
536	1156	2074
537	1158	2072
538	1161	2070
539	1163	2068
540	1165	2066
541	1168	2064
542	1170	2062
543	1172	2060
544	1174	2058
545	1177	2056
546	1179	2054
547	1181	2052
548	1183	2050
549	1186	2048
550	1188	2046
551	1190	2044
552	1192	2042
553	1195	2040
554	1197	2039
555	1199	2037
556	1201	2034
557	1204	2033
558	1206	2031
559	1208	2029
560	1211	2027
561	1213	2025
562	1216	2023
563	1218	2021
564	1220	2019
565	1222	2017
566	1224	2015
567	1227	2013
568	1229	2011
569	1231	2009
570	1233	2007
571	1236	2005
572	1238	2003
573	1240	2001
574	1242	1999
575	1244	1997
576	1247	1995
577	1249	1992
578	1251	1990
579	1253	1988
580	1256	1986
581	1258	1984
582	1260	1982
583	1262	1980
584	1264	1977
585	1266	1975
586	1268	1973
587	1270	1970
588	1272	1968
589	1274	1965
590	1276	1963
591	1278	1960
592	1280	1958
593	1282	1955
594	1284	1953
595	1286	1950
596	1287	1948
597	1289	1945
598	1291	1942
599	1293	1940
600	1295	1938
601	1298	1936
602	1300	1934
603	1302	1932
604	1304	1930
605	1307	1928
606	1309	1926
607	1311	1924
608	1313	1922
609	1316	1920
610	1318	1918
611	1320	1916
612	1323	1914
613	1325	1912
614	1327	1910
615	1330	1908
616	1332	1906
617	1334	1904
618	1336	1902
619	1339	1900
620	1341	1898
621	1343	1896
622	1346	1894
623	1348	1892
624	1350	1890
625	1352	1888
626	1355	1886
627	1357	1884
628	1359	1882
629	1361	1880
630	1364	1878
631	1366	1876
632	1368	1874
633	1370	1872
634	1373	1870
635	1375	1868
636	1377	1865
637	1379	1863
638	1381	1861
639	1383	1859
640	1386	1857
641	1388	1855
642	1390	1853
643	1392	1851
644	1395	1849
645	1397	1847
646	1399	1845
647	1402	1843
648	1404	1841
649	1406	1839
650	1408	1837
651	1410	1835
652	1413	1833
653	1415	1830
654	1417	1828
655	1419	1826
656	1422	1824
657	1423	1821
658	1426	1819
659	1428	1817
660	1430	1815
661	1432	1813
662	1435	1811
663	1437	1809
664	1439	1807
665	1441	1805
666	1443	1803
667	1446	1801
668	1448	1799
669	1450	1797
670	1452	1795
671	1455	1793
672	1457	1790
673	1459	1789
674	1462	1787
675	1464	1785
676	1466	1783
677	1468	1780
678	1471	1778
679	1473	1777
680	1475	1774
681	1478	1772
682	1480	1770
683	1482	1768
684	1484	1766
685	1487	1764
686	1489	1762
687	1491	1760
688	1493	1758
689	1496	1756
690	1498	1754
691	1500	1752
692	1503	1750
693	1505	1748
694	1507	1745
695	1509	1743
696	1511	1741
697	1514	1739
698	1516	1737
699	1518	1735
700	1520	1733
701	1523	1731
702	1525	1729
703	1527	1727
704	1530	1725
705	1532	1723
706	1535	1722
707	1537	1720
708	1540	1718
709	1542	1716
710	1544	1714
711	1546	1711
712	1548	1709
713	1550	1706
714	1552	1704
715	1554	1701
716	1556	1699
717	1558	1696
718	1559	1694
719	1561	1691
720	1563	1689
721	1565	1687
722	1567	1684
723	1569	1682
724	1571	1679
725	1573	1677
726	1575	1675
727	1577	1672
728	1579	1670
729	1581	1667
730	1583	1665
731	1584	1662
732	1587	1660
733	1589	1658
734	1591	1655
735	1592	1653
736	1594	1651
737	1596	1648
738	1598	1646
739	1600	1643
740	1602	1641
741	1604	1639
742	1607	1637
743	1609	1635
744	1611	1633
745	1613	1630
746	1615	1628
747	1617	1626
748	1619	1623
749	1621	1621
750	1623	1619
751	1625	1617
752	1627	1614
753	1629	1612
754	1631	1610
755	1633	1607
756	1635	1605
757	1637	1603
758	1639	1600
759	1641	1598
760	1643	1595
761	1645	1593
762	1647	1591
763	1649	1588
764	1651	1586
765	1653	1584
766	1655	1581
767	1657	1579
768	1658	1577
769	1660	1574
770	1662	1572
771	1664	1569
772	1666	1567
773	1668	1565
774	1670	1562
775	1672	1560
776	1674	1558
777	1676	1555
778	1678	1553
779	1680	1551
780	1682	1548
781	1683	1545
782	1685	1543
783	1687	1541
784	1689	1538
785	1691	1536
786	1693	1533
787	1695	1531
788	1696	1529
789	1698	1526
790	1700	1524
791	1702	1522
792	1704	1519
793	1706	1517
794	1708	1515
795	1710	1512
796	1712	1510
797	1714	1507
798	1716	1505
799	1717	1503
800	1719	1500
801	1722	1498
802	1724	1496
803	1726	1494
804	1729	1492
